"","trial","outcome_condition","rt","chose_risky","key_pressed","reward","color","session","total_earned","participant","risk_first_to_mind","total_risk","judged_percent","block","last_risk","condition","experiment"
"1",1,"first_win","-1",NA,NA,-1,NA,"first_time",0,"ct01",0,0.161616161616162,0,1,NA,"Control","Control"
"2",2,"first_win","1368",TRUE,"left",1,"3","first_time",0.025,"ct01",0,0.161616161616162,0,1,NA,"Control","Control"
"3",3,"first_win","3768",FALSE,"right",0.5,"2","first_time",0.0375,"ct01",0,0.161616161616162,0,1,1,"Control","Control"
"4",4,"first_win","2264",FALSE,"right",0.5,"2","first_time",0.05,"ct01",0,0.161616161616162,0,1,1,"Control","Control"
"5",5,"first_win","2245",TRUE,"left",0,"3","first_time",0.05,"ct01",0,0.161616161616162,0,1,1,"Control","Control"
"6",6,"first_win","2758",FALSE,"right",0.5,"2","first_time",0.0625,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"7",7,"first_win","1866",FALSE,"right",0.5,"2","first_time",0.075,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"8",8,"first_win","1640",FALSE,"right",0.5,"2","first_time",0.0875,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"9",9,"first_win","1705",FALSE,"right",0.5,"2","first_time",0.1,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"10",10,"first_win","1358",FALSE,"right",0.5,"2","first_time",0.1125,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"11",11,"first_win","1293",FALSE,"right",0.5,"2","first_time",0.125,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"12",12,"first_win","1824",FALSE,"right",0.5,"2","first_time",0.1375,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"13",13,"first_win","1585",FALSE,"right",0.5,"2","first_time",0.15,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"14",14,"first_win","1395",FALSE,"right",0.5,"2","first_time",0.1625,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"15",15,"first_win","1349",FALSE,"right",0.5,"2","first_time",0.175,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"16",16,"first_win","1298",FALSE,"right",0.5,"2","first_time",0.1875,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"17",17,"first_win","1492",FALSE,"right",0.5,"2","first_time",0.2,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"18",18,"first_win","3042",FALSE,"right",0.5,"2","first_time",0.2125,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"19",19,"first_win","2262",FALSE,"right",0.5,"2","first_time",0.225,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"20",20,"first_win","1767",FALSE,"right",0.5,"2","first_time",0.2375,"ct01",0,0.161616161616162,0,1,0,"Control","Control"
"21",21,"first_win","939",FALSE,"right",0.5,"2","first_time",0.25,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"22",22,"first_win","830",FALSE,"right",0.5,"2","first_time",0.2625,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"23",23,"first_win","1107",FALSE,"right",0.5,"2","first_time",0.275,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"24",24,"first_win","1719",FALSE,"right",0.5,"2","first_time",0.2875,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"25",25,"first_win","609",TRUE,"left",1,"3","first_time",0.3125,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"26",26,"first_win","1082",TRUE,"left",0,"3","first_time",0.3125,"ct01",0,0.161616161616162,0,2,1,"Control","Control"
"27",27,"first_win","678",FALSE,"right",0.5,"2","first_time",0.325,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"28",28,"first_win","1143",FALSE,"right",0.5,"2","first_time",0.3375,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"29",29,"first_win","1723",FALSE,"right",0.5,"2","first_time",0.35,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"30",30,"first_win","1398",TRUE,"left",0,"3","first_time",0.35,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"31",31,"first_win","482",FALSE,"right",0.5,"2","first_time",0.3625,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"32",32,"first_win","699",FALSE,"right",0.5,"2","first_time",0.375,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"33",33,"first_win","847",FALSE,"right",0.5,"2","first_time",0.3875,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"34",34,"first_win","322",FALSE,"right",0.5,"2","first_time",0.4,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"35",35,"first_win","1251",FALSE,"right",0.5,"2","first_time",0.4125,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"36",36,"first_win","1066",FALSE,"right",0.5,"2","first_time",0.425,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"37",37,"first_win","805",TRUE,"left",1,"3","first_time",0.45,"ct01",0,0.161616161616162,0,2,0,"Control","Control"
"38",38,"first_win","1004",FALSE,"right",0.5,"2","first_time",0.4625,"ct01",0,0.161616161616162,0,2,1,"Control","Control"
"39",39,"first_win","640",FALSE,"right",0.5,"2","first_time",0.475,"ct01",0,0.161616161616162,0,2,1,"Control","Control"
"40",40,"first_win","1047",FALSE,"right",0.5,"2","first_time",0.4875,"ct01",0,0.161616161616162,0,2,1,"Control","Control"
"41",41,"first_win","489",FALSE,"right",0.5,"2","first_time",0.5,"ct01",0,0.161616161616162,0,3,1,"Control","Control"
"42",42,"first_win","656",FALSE,"right",0.5,"2","first_time",0.5125,"ct01",0,0.161616161616162,0,3,1,"Control","Control"
"43",43,"first_win","741",FALSE,"right",0.5,"2","first_time",0.525,"ct01",0,0.161616161616162,0,3,1,"Control","Control"
"44",44,"first_win","638",TRUE,"left",0,"3","first_time",0.525,"ct01",0,0.161616161616162,0,3,1,"Control","Control"
"45",45,"first_win","466",FALSE,"right",0.5,"2","first_time",0.5375,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"46",46,"first_win","531",FALSE,"right",0.5,"2","first_time",0.55,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"47",47,"first_win","440",FALSE,"right",0.5,"2","first_time",0.5625,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"48",48,"first_win","703",FALSE,"right",0.5,"2","first_time",0.575,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"49",49,"first_win","2250",FALSE,"right",0.5,"2","first_time",0.5875,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"50",50,"first_win","613",FALSE,"right",0.5,"2","first_time",0.6,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"51",51,"first_win","1224",FALSE,"right",0.5,"2","first_time",0.6125,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"52",52,"first_win","744",FALSE,"right",0.5,"2","first_time",0.625,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"53",53,"first_win","486",FALSE,"right",0.5,"2","first_time",0.6375,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"54",54,"first_win","368",FALSE,"right",0.5,"2","first_time",0.65,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"55",55,"first_win","461",FALSE,"right",0.5,"2","first_time",0.6625,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"56",56,"first_win","546",TRUE,"left",0,"3","first_time",0.6625,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"57",57,"first_win","486",FALSE,"right",0.5,"2","first_time",0.675,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"58",58,"first_win","506",TRUE,"left",1,"3","first_time",0.7,"ct01",0,0.161616161616162,0,3,0,"Control","Control"
"59",59,"first_win","608",FALSE,"right",0.5,"2","first_time",0.7125,"ct01",0,0.161616161616162,0,3,1,"Control","Control"
"60",60,"first_win","637",FALSE,"right",0.5,"2","first_time",0.725,"ct01",0,0.161616161616162,0,3,1,"Control","Control"
"61",61,"first_win","311",TRUE,"left",1,"3","first_time",0.75,"ct01",0,0.161616161616162,0,4,1,"Control","Control"
"62",62,"first_win","706",FALSE,"right",0.5,"2","first_time",0.7625,"ct01",0,0.161616161616162,0,4,1,"Control","Control"
"63",63,"first_win","962",TRUE,"left",0,"3","first_time",0.7625,"ct01",0,0.161616161616162,0,4,1,"Control","Control"
"64",64,"first_win","332",FALSE,"right",0.5,"2","first_time",0.775,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"65",65,"first_win","441",FALSE,"right",0.5,"2","first_time",0.7875,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"66",66,"first_win","448",TRUE,"left",0,"3","first_time",0.7875,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"67",67,"first_win","1402",FALSE,"right",0.5,"2","first_time",0.8,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"68",68,"first_win","535",FALSE,"right",0.5,"2","first_time",0.8125,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"69",69,"first_win","1598",FALSE,"right",0.5,"2","first_time",0.825,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"70",70,"first_win","412",FALSE,"right",0.5,"2","first_time",0.8375,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"71",71,"first_win","417",FALSE,"right",0.5,"2","first_time",0.85,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"72",72,"first_win","383",TRUE,"left",0,"3","first_time",0.85,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"73",73,"first_win","355",FALSE,"right",0.5,"2","first_time",0.8625,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"74",74,"first_win","329",FALSE,"right",0.5,"2","first_time",0.875,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"75",75,"first_win","392",FALSE,"right",0.5,"2","first_time",0.8875,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"76",76,"first_win","435",TRUE,"left",0,"3","first_time",0.8875,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"77",77,"first_win","311",FALSE,"right",0.5,"2","first_time",0.9,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"78",78,"first_win","2746",FALSE,"right",0.5,"2","first_time",0.9125,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"79",79,"first_win","641",FALSE,"right",0.5,"2","first_time",0.925,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"80",80,"first_win","475",FALSE,"right",0.5,"2","first_time",0.9375,"ct01",0,0.161616161616162,0,4,0,"Control","Control"
"81",81,"first_win","359",FALSE,"right",0.5,"2","first_time",0.95,"ct01",0,0.161616161616162,0,5,0,"Control","Control"
"82",82,"first_win","310",FALSE,"right",0.5,"2","first_time",0.9625,"ct01",0,0.161616161616162,0,5,0,"Control","Control"
"83",83,"first_win","340",FALSE,"right",0.5,"2","first_time",0.975,"ct01",0,0.161616161616162,0,5,0,"Control","Control"
"84",84,"first_win","423",FALSE,"right",0.5,"2","first_time",0.9875,"ct01",0,0.161616161616162,0,5,0,"Control","Control"
"85",85,"first_win","2708",TRUE,"left",1,"3","first_time",1.0125,"ct01",0,0.161616161616162,0,5,0,"Control","Control"
"86",86,"first_win","594",FALSE,"right",0.5,"2","first_time",1.025,"ct01",0,0.161616161616162,0,5,1,"Control","Control"
"87",87,"first_win","272",FALSE,"right",0.5,"2","first_time",1.0375,"ct01",0,0.161616161616162,0,5,1,"Control","Control"
"88",88,"first_win","274",FALSE,"right",0.5,"2","first_time",1.05,"ct01",0,0.161616161616162,0,5,1,"Control","Control"
