"","trial","outcome_condition","rt","chose_risky","key_pressed","reward","color","session","total_earned","participant","condition","video","age","gender","risk_first_to_mind","total_risk","judged_percent","block","last_risk","experiment"
"1:1",1,"first_win",29,1,"left",1,"4","first_time",0.025,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,NA,"Gain"
"1:2",2,"first_win",9,1,"left",0,"4","first_time",0.025,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:3",3,"first_win",6,1,"left",1,"4","first_time",0.05,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"1:4",4,"first_win",73,1,"left",0,"4","first_time",0.05,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:5",5,"first_win",108,1,"left",1,"4","first_time",0.075,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"1:6",6,"first_win",165,0,"right",0.5,"3","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:7",7,"first_win",169,1,"left",0,"4","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:8",8,"first_win",60,1,"left",0,"4","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"1:9",9,"first_win",161,1,"left",0,"4","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"1:10",10,"first_win",15,1,"left",1,"4","first_time",0.1125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"1:11",11,"first_win",121,0,"right",0.5,"3","first_time",0.125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:12",12,"first_win",130,0,"right",0.5,"3","first_time",0.1375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:13",13,"first_win",147,0,"right",0.5,"3","first_time",0.15,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:14",14,"first_win",153,1,"left",1,"4","first_time",0.175,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:15",15,"first_win",101,0,"right",0.5,"3","first_time",0.1875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:16",16,"first_win",152,0,"right",0.5,"3","first_time",0.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:17",17,"first_win",145,0,"right",0.5,"3","first_time",0.2125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:18",18,"first_win",94,1,"left",1,"4","first_time",0.2375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:19",19,"first_win",142,0,"right",0.5,"3","first_time",0.25,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:20",20,"first_win",135,0,"right",0.5,"3","first_time",0.2625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"1:21",21,"first_win",136,0,"right",0.5,"3","first_time",0.275,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:22",22,"first_win",122,1,"left",1,"4","first_time",0.3,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:23",23,"first_win",13,1,"left",0,"4","first_time",0.3,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:24",24,"first_win",144,0,"right",0.5,"3","first_time",0.3125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"1:25",25,"first_win",133,0,"right",0.5,"3","first_time",0.325,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"1:26",26,"first_win",116,1,"left",1,"4","first_time",0.35,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"1:27",27,"first_win",77,0,"right",0.5,"3","first_time",0.3625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:28",28,"first_win",123,0,"right",0.5,"3","first_time",0.375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:29",29,"first_win",124,0,"right",0.5,"3","first_time",0.3875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:30",30,"first_win",75,1,"left",0,"4","first_time",0.3875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:31",31,"first_win",108,1,"left",0,"4","first_time",0.3875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"1:32",32,"first_win",33,1,"left",1,"4","first_time",0.4125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"1:33",33,"first_win",126,0,"right",0.5,"3","first_time",0.425,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:34",34,"first_win",91,0,"right",0.5,"3","first_time",0.4375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:35",35,"first_win",76,1,"left",0,"4","first_time",0.4375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:36",36,"first_win",47,1,"left",0,"4","first_time",0.4375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"1:37",37,"first_win",170,1,"left",1,"4","first_time",0.4625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"1:38",38,"first_win",96,0,"right",0.5,"3","first_time",0.475,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:39",39,"first_win",99,0,"right",0.5,"3","first_time",0.4875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:40",40,"first_win",93,1,"left",0,"4","first_time",0.4875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"1:41",41,"first_win",68,0,"right",0.5,"3","first_time",0.5,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:42",42,"first_win",166,0,"right",0.5,"3","first_time",0.5125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:43",43,"first_win",102,1,"left",0,"4","first_time",0.5125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:44",44,"first_win",61,0,"right",0.5,"3","first_time",0.525,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:45",45,"first_win",155,0,"right",0.5,"3","first_time",0.5375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:46",46,"first_win",119,1,"left",1,"4","first_time",0.5625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:47",47,"first_win",105,0,"right",0.5,"3","first_time",0.575,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:48",48,"first_win",78,0,"right",0.5,"3","first_time",0.5875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:49",49,"first_win",84,0,"right",0.5,"3","first_time",0.6,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:50",50,"first_win",58,0,"right",0.5,"3","first_time",0.6125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:51",51,"first_win",89,1,"left",0,"4","first_time",0.6125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:52",52,"first_win",130,1,"left",1,"4","first_time",0.6375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:53",53,"first_win",88,0,"right",0.5,"3","first_time",0.65,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:54",54,"first_win",148,1,"left",0,"4","first_time",0.65,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:55",55,"first_win",75,1,"left",1,"4","first_time",0.675,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:56",56,"first_win",127,0,"right",0.5,"3","first_time",0.6875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:57",57,"first_win",109,0,"right",0.5,"3","first_time",0.7,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:58",58,"first_win",154,0,"right",0.5,"3","first_time",0.7125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:59",59,"first_win",43,1,"left",0,"4","first_time",0.7125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,1,"Gain"
"1:60",60,"first_win",58,1,"left",0,"4","first_time",0.7125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,3,0,"Gain"
"1:61",61,"first_win",44,1,"left",1,"4","first_time",0.7375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain"
"1:62",62,"first_win",132,1,"left",0,"4","first_time",0.7375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,1,"Gain"
"1:63",63,"first_win",97,0,"right",0.5,"3","first_time",0.75,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain"
"1:64",64,"first_win",160,0,"right",0.5,"3","first_time",0.7625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain"
"1:65",65,"first_win",63,0,"right",0.5,"3","first_time",0.775,"cd1","General","Restaurant",31,"F",2.5,0.43,0,4,0,"Gain"
