"","trial","outcome_condition","rt","chose_risky","key_pressed","reward","color","session","total_earned","participant","condition","video","age","gender","risk_first_to_mind","total_risk","judged_percent","block","last_risk","experiment"
"1",1,"first_win","1993",TRUE,"left",1,"4","first_time",0.025,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,NA,"Gain"
"2",2,"first_win","1273",TRUE,"left",0,"4","first_time",0.025,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"3",3,"first_win","1050",TRUE,"left",1,"4","first_time",0.05,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"4",4,"first_win","3005",TRUE,"left",0,"4","first_time",0.05,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"5",5,"first_win","379",TRUE,"left",1,"4","first_time",0.075,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"6",6,"first_win","787",FALSE,"right",0.5,"3","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"7",7,"first_win","913",TRUE,"left",0,"4","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"8",8,"first_win","271",TRUE,"left",0,"4","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"9",9,"first_win","715",TRUE,"left",0,"4","first_time",0.0875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"10",10,"first_win","1699",TRUE,"left",1,"4","first_time",0.1125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,0,"Gain"
"11",11,"first_win","424",FALSE,"right",0.5,"3","first_time",0.125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"12",12,"first_win","457",FALSE,"right",0.5,"3","first_time",0.1375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"13",13,"first_win","559",FALSE,"right",0.5,"3","first_time",0.15,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"14",14,"first_win","581",TRUE,"left",1,"4","first_time",0.175,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"15",15,"first_win","363",FALSE,"right",0.5,"3","first_time",0.1875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"16",16,"first_win","579",FALSE,"right",0.5,"3","first_time",0.2,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"17",17,"first_win","536",FALSE,"right",0.5,"3","first_time",0.2125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"18",18,"first_win","346",TRUE,"left",1,"4","first_time",0.2375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"19",19,"first_win","520",FALSE,"right",0.5,"3","first_time",0.25,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"20",20,"first_win","478",FALSE,"right",0.5,"3","first_time",0.2625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,1,1,"Gain"
"21",21,"first_win","484",FALSE,"right",0.5,"3","first_time",0.275,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"22",22,"first_win","425",TRUE,"left",1,"4","first_time",0.3,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"23",23,"first_win","1599",TRUE,"left",0,"4","first_time",0.3,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"24",24,"first_win","529",FALSE,"right",0.5,"3","first_time",0.3125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"25",25,"first_win","471",FALSE,"right",0.5,"3","first_time",0.325,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"26",26,"first_win","406",TRUE,"left",1,"4","first_time",0.35,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"27",27,"first_win","306",FALSE,"right",0.5,"3","first_time",0.3625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"28",28,"first_win","427",FALSE,"right",0.5,"3","first_time",0.375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"29",29,"first_win","428",FALSE,"right",0.5,"3","first_time",0.3875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"30",30,"first_win","303",TRUE,"left",0,"4","first_time",0.3875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"31",31,"first_win","379",TRUE,"left",0,"4","first_time",0.3875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"32",32,"first_win","211",TRUE,"left",1,"4","first_time",0.4125,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"33",33,"first_win","440",FALSE,"right",0.5,"3","first_time",0.425,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"34",34,"first_win","340",FALSE,"right",0.5,"3","first_time",0.4375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"35",35,"first_win","304",TRUE,"left",0,"4","first_time",0.4375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"36",36,"first_win","250",TRUE,"left",0,"4","first_time",0.4375,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"37",37,"first_win","977",TRUE,"left",1,"4","first_time",0.4625,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,0,"Gain"
"38",38,"first_win","348",FALSE,"right",0.5,"3","first_time",0.475,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"39",39,"first_win","354",FALSE,"right",0.5,"3","first_time",0.4875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
"40",40,"first_win","344",TRUE,"left",0,"4","first_time",0.4875,"cd1","General","Restaurant",31,"F",2.5,0.43,0,2,1,"Gain"
